Nama Produk;Nama Motor;Merk Motor;Warna Motor;Tahun Pembuatan;Provinsi;Harga;Kapasitas Mesin;Rentang Harga;;;;;;;;;;;;;;;;
Honda Beat tahun 2011;beat;honda;biru;2011;jakarta;6.500.000,00;110;<15jt;;;;;;;;;;;;;;;;
Honda Beat FI tahun 2018;beat;honda;merah;2018;jawa barat;12.200.000,00;110;<15jt;;;;;;;;;;;;;;;;
Yamaha X-Ride tahun 2013;x-ride;yamaha;putih;2013;jawa barat;6.700.000,00;125;<15jt;;;;;;;;;;;;;;;;
Ninja 250 ABS SE 2018;ninja;kawasaki;merah;2018;jakarta;43.000.000,00;250;30-45jt;;;;;;;;;;;;;;;;
YAMAHA R15 SERIES THN 2015 (HITAM);r15;yamaha;hitam;2015;jakarta;13.000.000,00;200;<15jt;;;;;;;;;;;;;;;;
Dijual Murah Motor LIMITED EDITION NINJA 300 CC;ninja;kawasaki;hijau;2015;jakarta;49.000.000,00;300;45-60jt;;;;;;;;;;;;;;;;
Spartan 1985 Merah Plat D;spartan;vespa;merah;1980;jakarta;65.000.000,00;250;>60jt;;;;;;;;;;;;;;;;
Excel 2006 Blue Cobalto Collectible Item;excel;vespa;biru;2006;jakarta;35.000.000,00;250;30-45jt;;;;;;;;;;;;;;;;
X ride 2015 mulus terawat;x-ride;yamaha;biru;2015;jakarta;8.000.000,00;115;<15jt;;;;;;;;;;;;;;;;
CB 150R StreetFire Repsol Edition.;cb150r;honda;oranye;2014;jawa tengah;11.500.000,00;150;<15jt;;;;;;;;;;;;;;;;
Jual motor r15 v2 movistar tahun 2016;r15;yamaha;biru;2016;sumatera selatan;20.000.000,00;150;15-30jt;;;;;;;;;;;;;;;;
HONDA CBR 250 RR LOW KILOMETER;cbr;honda;hitam;2016;jawa timur;55.000.000,00;250;45-60jt;;;;;;;;;;;;;;;;
Dijual Murah Motor Custom Bratstyle Basic Mega Pro;megapro;honda;hitam;2006;banten;15.900.000,00;110;15-30jt;;;;;;;;;;;;;;;;
Jual Honda CBR 150 facelit K45N 2019, Gress;cbr;honda;hitam;2019;jakarta;25.000.000,00;150;15-30jt;;;;;;;;;;;;;;;;
Kawasaki ninja r 2012;ninja;kawasaki;hijau;2012;jawa barat;20.000.000,00;150;15-30jt;;;;;;;;;;;;;;;;
Kawasaki Er6n nik 2012;er-6n;kawasaki;hijau;2012;jawa barat;75.000.000,00;650;>60jt;;;;;;;;;;;;;;;;
